年份,城镇居民可支配收入,农村居民可支配收入,城镇常住人口,农村常住人口,重庆市总人口,人均GDP
2023,47435,20820,2287.45,903.98,3191.43,94458
2022,45509,19313,2280.32,933.02,3213.34,90650
2021,43502,18100,2259.13,953.3,3212.43,86879
2020,40006,16361,2226.41,979.01,3205.42,78294
2019,37939,15133,2086.99,1037.33,3124.32,74337
2018,34889,13781,2031.59,1070.2,3101.79,68460
2017,32193,12638,1970.68,1104.48,3075.16,64171
2016,29610,11549,1908.45,1139.98,3048.43,58327
2015,27239,10505,1838.41,1178.14,3016.55,52480
